period,demand_MW,solar_MW,wind_MW,net_load_MW
2023-04-29 17:00:00,40227,6299,21105,12823
2023-04-29 18:00:00,39855,6473,20417,12965
2023-04-29 19:00:00,39678,8145,18553,12980
2023-04-29 20:00:00,39774,9047,17299,13428
2023-04-29 21:00:00,40113,9031,16332,14750
2023-04-29 22:00:00,40852,8488,15345,17019
2023-04-29 23:00:00,41477,7842,13728,19907
2023-04-30 00:00:00,41903,8122,11580,22201
2023-04-30 01:00:00,41541,3585,6536,31420
2023-04-30 02:00:00,41600,99,2562,38939
2023-04-30 03:00:00,40387,0,1565,38822
2023-04-30 04:00:00,39268,0,1748,37520
2023-04-30 05:00:00,37744,0,2613,35131
2023-04-30 06:00:00,36148,1,4138,32009
2023-04-30 07:00:00,34999,0,6105,28894
2023-04-30 08:00:00,34217,0,8387,25830
2023-04-30 09:00:00,33713,0,9810,23903
2023-04-30 10:00:00,33681,0,10147,23534
2023-04-30 11:00:00,33912,0,9871,24041
2023-04-30 12:00:00,34495,12,9687,24796
2023-04-30 13:00:00,35260,2186,8901,24173
2023-04-30 14:00:00,36605,9005,7472,20128
2023-04-30 15:00:00,37787,12325,4756,20706
2023-04-30 16:00:00,38820,12644,5699,20477
2023-04-30 17:00:00,40214,12681,6637,20896
2023-04-30 18:00:00,41768,12722,7121,21925
2023-04-30 19:00:00,43610,12281,8954,22375
2023-04-30 20:00:00,45684,11634,10630,23420
2023-04-30 21:00:00,47909,11056,12156,24697
2023-04-30 22:00:00,50090,10629,13372,26089
2023-04-30 23:00:00,51629,10620,14354,26655
2023-05-01 00:00:00,51720,8899,15699,27122
2023-05-01 01:00:00,50514,3039,18142,29333
2023-05-01 02:00:00,49706,77,22006,27623
2023-05-01 03:00:00,48180,0,24092,24088
2023-05-01 04:00:00,44815,0,23798,21017
2023-05-01 05:00:00,41218,1,21983,19234
2023-05-01 06:00:00,38198,1,19102,19095
2023-05-01 07:00:00,36275,0,17314,18961
2023-05-01 08:00:00,35134,0,16674,18460
2023-05-01 09:00:00,34582,0,17145,17437
2023-05-01 10:00:00,35009,0,16996,18013
2023-05-01 11:00:00,36450,0,16933,19517
2023-05-01 12:00:00,38878,13,16713,22152
2023-05-01 13:00:00,40013,2027,14970,23016
2023-05-01 14:00:00,40845,7999,11857,20989
2023-05-01 15:00:00,41974,10463,10681,20830
2023-05-01 16:00:00,43225,10977,9460,22788
2023-05-01 17:00:00,44547,11576,8682,24289
2023-05-01 18:00:00,46127,11656,7866,26605
2023-05-01 19:00:00,47867,11814,7110,28943
2023-05-01 20:00:00,49778,11623,7052,31103
2023-05-01 21:00:00,51681,11354,7071,33256
2023-05-01 22:00:00,53295,10423,7847,35025
2023-05-01 23:00:00,53545,8002,8643,36900
2023-05-02 00:00:00,52392,5496,8914,37982
2023-05-02 01:00:00,50410,1775,8943,39692
2023-05-02 02:00:00,49726,28,9911,39787
2023-05-02 03:00:00,48581,0,12988,35593
2023-05-02 04:00:00,45747,0,15692,30055
2023-05-02 05:00:00,42506,0,16809,25697
2023-05-02 06:00:00,40029,0,17882,22147
2023-05-02 07:00:00,38386,0,18124,20262
2023-05-02 08:00:00,37210,0,16903,20307
2023-05-02 09:00:00,36647,0,16617,20030
2023-05-02 10:00:00,36753,0,15607,21146
2023-05-02 11:00:00,38114,0,12731,25383
2023-05-02 12:00:00,40573,14,10492,30067
2023-05-02 13:00:00,41575,1106,8578,31891
2023-05-02 14:00:00,42561,3379,6462,32720
2023-05-02 15:00:00,44081,5632,5717,32732
2023-05-02 16:00:00,45361,7762,6583,31016
2023-05-02 17:00:00,46531,9178,7024,30329
2023-05-02 18:00:00,47929,9633,7647,30649
2023-05-02 19:00:00,49305,9568,7941,31796
2023-05-02 20:00:00,50810,9405,8205,33200
2023-05-02 21:00:00,52001,8775,8863,34363
2023-05-02 22:00:00,52879,7938,9215,35726
2023-05-02 23:00:00,53002,6408,10106,36488
2023-05-03 00:00:00,52526,3958,11682,36886
2023-05-03 01:00:00,51617,1046,12433,38138
2023-05-03 02:00:00,50803,24,11324,39455
2023-05-03 03:00:00,49688,0,11519,38169
2023-05-03 04:00:00,46793,0,12766,34027
2023-05-03 05:00:00,43136,0,10639,32497
2023-05-03 06:00:00,40440,0,7222,33218
2023-05-03 07:00:00,38378,0,6192,32186
2023-05-03 08:00:00,37234,0,6650,30584
2023-05-03 09:00:00,36682,0,5781,30901
2023-05-03 10:00:00,36672,0,5481,31191
2023-05-03 11:00:00,38094,0,5657,32437
2023-05-03 12:00:00,40648,7,5306,35335
2023-05-03 13:00:00,41654,1045,5501,35108
2023-05-03 14:00:00,42482,5846,5129,31507
2023-05-03 15:00:00,44092,9700,6358,28034
2023-05-03 16:00:00,45758,10415,5754,29589
2023-05-03 17:00:00,47758,10927,5787,31044
2023-05-03 18:00:00,49413,11455,5856,32102
2023-05-03 19:00:00,51423,11251,5530,34642
2023-05-03 20:00:00,53327,11310,5492,36525
2023-05-03 21:00:00,55010,10720,5867,38423
2023-05-03 22:00:00,56334,8935,6953,40446
2023-05-03 23:00:00,56582,6932,8629,41021
2023-05-04 00:00:00,55409,3913,10605,40891
2023-05-04 01:00:00,53634,929,13028,39677
2023-05-04 02:00:00,52776,15,14855,37906
2023-05-04 03:00:00,51112,0,17468,33644
2023-05-04 04:00:00,47705,0,19013,28692
2023-05-04 05:00:00,44271,0,18728,25543
2023-05-04 06:00:00,41408,0,17814,23594
2023-05-04 07:00:00,39430,0,17017,22413
2023-05-04 08:00:00,37976,0,15683,22293
2023-05-04 09:00:00,37304,0,14600,22704
2023-05-04 10:00:00,37296,0,11748,25548
2023-05-04 11:00:00,38849,0,9408,29441
2023-05-04 12:00:00,41572,5,9258,32309
2023-05-04 13:00:00,43073,275,10692,32106
2023-05-04 14:00:00,43858,1325,10521,32012
2023-05-04 15:00:00,45346,3369,9422,32555
2023-05-04 16:00:00,46840,5778,8643,32419
2023-05-04 17:00:00,48556,7540,9220,31796
2023-05-04 18:00:00,50240,8682,9671,31887
2023-05-04 19:00:00,52071,9110,10303,32658
2023-05-04 20:00:00,53573,9146,11714,32713
2023-05-04 21:00:00,54906,8925,12981,33000
2023-05-04 22:00:00,55497,7794,13737,33966
2023-05-04 23:00:00,56078,7542,13375,35161
2023-05-05 00:00:00,55196,6388,13308,35500
2023-05-05 01:00:00,53619,2967,11782,38870
2023-05-05 02:00:00,52693,279,10591,41823
2023-05-05 03:00:00,51772,0,11898,39874
2023-05-05 04:00:00,49462,0,13807,35655
2023-05-05 05:00:00,46744,0,14999,31745
2023-05-05 06:00:00,44416,0,17540,26876
2023-05-05 07:00:00,42585,0,20788,21797
2023-05-05 08:00:00,41469,0,21615,19854
